ci,first_name,last_name,email,gender,av_grade,curr_year,section
29559054,Raymond,Roughey,rroughey0@nymag.com,M,6.51,8,C
39091438,Giacomo,Bottell,gbottell1@usgs.gov,M,16.73,1,C
39004497,Sosanna,Baterip,sbaterip2@webeden.co.uk,F,16.5,2,C
38862915,Mendie,Hansell,mhansell3@livejournal.com,M,7.46,11,B
32412395,Millard,Trustie,mtrustie4@opensource.org,M,16.58,4,A
28317469,Piggy,McGillicuddy,pmcgillicuddy5@dot.gov,M,8.63,1,C
36264471,Darrel,Deathridge,ddeathridge6@fc2.com,M,7.32,11,B
35177968,Milt,Leidecker,mleidecker7@histats.com,M,10.58,7,A
34023169,Karon,Devanney,kdevanney8@about.com,F,6.69,10,C
37124289,Hastie,Jeppensen,hjeppensen9@infoseek.co.jp,M,9.27,11,B
28346030,Haily,Scryne,hscrynea@globo.com,M,13.44,6,B
31123330,Muire,Emes,memesb@altervista.org,F,13.4,2,B
29123786,Eleonora,Paragreen,eparagreenc@geocities.com,F,7.9,8,B
31680370,Claudia,Kerrane,ckerraned@umich.edu,F,17.6,11,A
32891822,Huntington,Scinelli,hscinellie@odnoklassniki.ru,M,12.89,10,C
25505751,Amber,Lentsch,alentschf@ft.com,F,18.57,7,C
32737125,Wendall,Whiskin,wwhisking@tuttocitta.it,M,18.79,8,A
27552873,Ines,Colisbe,icolisbeh@irs.gov,F,15.15,10,C
25153417,Tyrus,Rollett,trolletti@com.com,M,10.05,9,B
37648664,Mohammed,MacKay,mmackayj@webnode.com,M,14.69,1,B
28813399,Trixi,Bleasby,tbleasbyk@nymag.com,F,12.7,4,C
38061071,Merola,Howlett,mhowlettl@un.org,F,14.85,2,C
37929929,Frasier,Farncomb,ffarncombm@1und1.de,M,5.01,5,C
28122194,Herminia,Sleit,hsleitn@lycos.com,F,17.2,11,A
37312002,Heriberto,Espino,hespinoo@hugedomains.com,M,9.6,7,B
28566134,Barbee,Toffoletto,btoffolettop@europa.eu,F,14.61,1,A
28029346,Hermia,Kielty,hkieltyq@buzzfeed.com,F,5.06,8,C
26913923,Hetti,Avramow,havramowr@gnu.org,F,16.64,4,A
35413261,Cyril,Caltera,ccalteras@w3.org,M,17.88,1,A
39387220,Mathe,Banishevitz,mbanishevitzt@reddit.com,M,13.53,1,A
38322002,Claudette,Ianizzi,cianizziu@over-blog.com,F,19.52,10,C
34019248,Teodora,Aberdeen,taberdeenv@blogger.com,F,6.75,10,C
31549928,Sibley,Tincombe,stincombew@theatlantic.com,F,6.28,3,C
30135580,Jori,Edgin,jedginx@indiegogo.com,F,13.17,1,A
37878442,Sheelah,Phalip,sphalipy@stumbleupon.com,F,15.13,8,B
34899864,Heather,Rean,hreanz@people.com.cn,F,13.36,7,C
35872460,Ammamaria,Whinray,awhinray10@youku.com,F,13.52,10,B
37159872,Homer,Castro,hcastro11@e-recht24.de,M,15.94,10,B
33300301,Mayne,Goater,mgoater12@xing.com,M,18.58,9,C
29453985,Trever,Harbert,tharbert13@reverbnation.com,M,10.02,10,A
35012811,Lyle,McDaid,lmcdaid14@microsoft.com,M,10.11,8,A
28196131,Teressa,Rauprich,trauprich15@ucoz.com,F,12.15,8,C
28668550,Anestassia,Pleat,apleat16@blogs.com,F,18.17,5,C
30200272,Fletcher,Auld,fauld17@1und1.de,M,9.81,10,C
25148784,Hymie,Gorsse,hgorsse18@amazon.de,M,14.48,7,A
33819447,Gerladina,Slott,gslott19@stumbleupon.com,F,9.71,5,A
38446722,Ilario,Baldwin,ibaldwin1a@macromedia.com,M,5.9,3,C
39484258,Clovis,Ricciardi,cricciardi1b@alexa.com,F,16.07,11,C
34767972,Jonah,Barbour,jbarbour1c@comsenz.com,M,15.67,5,B
37998400,Nell,Mattingly,nmattingly1d@example.com,F,5.81,1,B
36251983,Lowell,Bransby,lbransby1e@digg.com,M,8.04,3,B
39312983,Tiffie,McCarrell,tmccarrell1f@economist.com,F,19.37,9,A
28399967,Quent,Limbrick,qlimbrick1g@cbsnews.com,M,9.25,9,C
35882869,Brigitte,Aron,baron1h@altervista.org,F,16.77,7,A
30497520,Ashby,Wyre,awyre1i@yale.edu,M,7.06,3,C
32491162,Mickie,Foulsham,mfoulsham1j@photobucket.com,F,8.09,6,B
26198336,Padriac,Setterthwait,psetterthwait1k@google.pl,M,18.87,5,A
36576114,Prissie,Shird,pshird1l@admin.ch,F,14.43,2,C
26879228,Horton,MacCracken,hmaccracken1m@free.fr,M,12.34,3,C
36243421,Anny,Children,achildren1n@ox.ac.uk,F,5.91,6,C
31298494,Riki,Licari,rlicari1o@tinyurl.com,F,14.64,6,A
26698771,Gipsy,Quartly,gquartly1p@latimes.com,F,10.18,10,A
37845141,Paton,Guage,pguage1q@elpais.com,M,8.13,9,A
33891662,Dene,Marsters,dmarsters1r@cyberchimps.com,M,10.27,4,A
35856311,Daveen,Kimber,dkimber1s@google.fr,F,11.1,6,A
27714709,Claus,Milstead,cmilstead1t@technorati.com,M,17.61,2,A
35005349,Fleming,Gundry,fgundry1u@microsoft.com,M,11.53,4,B
30190058,Arline,Chipman,achipman1v@gizmodo.com,F,17.33,3,B
37793126,Loralyn,Deluze,ldeluze1w@histats.com,F,9.72,4,A
